"0","000s:000ms:000us 374 ms"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B5388 CRC:07","SC:80","MMC:211.2MHz","Nrc:3",
"97","001s:863ms:990us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"98","001s:864ms:159us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"99","001s:864ms:362us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"100","001s:864ms:531us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"101","001s:864ms:734us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"102","001s:864ms:903us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"103","001s:865ms:107us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"104","001s:865ms:275us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"105","001s:865ms:479us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"106","001s:865ms:647us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"107","001s:865ms:851us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"108","001s:866ms:020us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"109","001s:866ms:223us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"110","001s:866ms:392us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"111","001s:866ms:595us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"112","001s:866ms:764us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"113","001s:866ms:968us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"114","001s:867ms:136us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"115","001s:867ms:340us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"116","001s:867ms:508us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"117","001s:867ms:712us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"118","001s:867ms:881us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"119","001s:868ms:084us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"120","001s:868ms:253us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"121","001s:868ms:456us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"122","001s:868ms:625us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"123","001s:868ms:829us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"124","001s:868ms:997us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"125","001s:869ms:201us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"126","001s:869ms:369us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"127","001s:869ms:573us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"128","001s:869ms:742us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"129","001s:869ms:945us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"130","001s:870ms:114us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"131","001s:870ms:317us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"132","001s:870ms:486us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"133","001s:870ms:690us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"134","001s:870ms:858us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"135","001s:871ms:062us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"136","001s:871ms:230us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"137","001s:871ms:434us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"138","001s:871ms:602us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"139","001s:871ms:806us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"140","001s:871ms:975us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"141","001s:872ms:178us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"142","001s:872ms:347us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"143","001s:872ms:551us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"144","001s:872ms:719us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"145","001s:872ms:923us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"146","001s:873ms:091us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"147","001s:873ms:295us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"148","001s:873ms:463us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"149","001s:873ms:667us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"150","001s:873ms:836us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"151","001s:874ms:039us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"152","001s:874ms:208us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"153","001s:874ms:411us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"154","001s:874ms:580us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"155","001s:874ms:784us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"156","001s:874ms:952us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"157","001s:875ms:156us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"158","001s:875ms:324us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"159","001s:875ms:528us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"160","001s:875ms:697us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"161","001s:875ms:900us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"162","001s:876ms:069us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"163","001s:876ms:272us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"164","001s:876ms:441us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"165","001s:876ms:645us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"166","001s:876ms:813us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"167","001s:877ms:017us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"168","001s:877ms:185us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"169","001s:877ms:389us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"170","001s:877ms:558us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"171","001s:877ms:761us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"172","001s:877ms:930us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"173","001s:878ms:133us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"174","001s:878ms:302us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"175","001s:878ms:506us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"176","001s:878ms:674us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
